epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,3573.2,0.61959,0.45197,1.08689,0.7514,0.86327,0.85012,0.6128,0.87579,0.62728,1.31807,0.000389938,0.000389938,0.000389938
141,3597.47,0.62056,0.46015,1.08402,0.79079,0.83662,0.85446,0.61738,0.88291,0.62289,1.31411,0.00038375,0.00038375,0.00038375
142,3621.7,0.60902,0.44924,1.08134,0.76428,0.84523,0.86166,0.61869,0.85914,0.64972,1.29633,0.000377563,0.000377563,0.000377563
143,3645.98,0.60699,0.44271,1.07834,0.83307,0.81229,0.86348,0.61877,0.87122,0.63088,1.30464,0.000371375,0.000371375,0.000371375
144,3670.27,0.60078,0.44607,1.06747,0.75614,0.8771,0.85584,0.61998,0.85275,0.62309,1.28803,0.000365188,0.000365188,0.000365188
145,3694.55,0.60211,0.43535,1.06886,0.77157,0.84962,0.86439,0.61986,0.86886,0.63765,1.31464,0.000359,0.000359,0.000359
146,3718.82,0.60479,0.43757,1.06985,0.81922,0.79266,0.83997,0.61062,0.86391,0.62882,1.31023,0.000352812,0.000352812,0.000352812
147,3743.04,0.60585,0.44621,1.07023,0.7303,0.91567,0.84622,0.61519,0.85912,0.60164,1.30461,0.000346625,0.000346625,0.000346625
148,3767.2,0.6028,0.43429,1.07066,0.79679,0.81027,0.84326,0.61445,0.862,0.61882,1.29979,0.000340438,0.000340438,0.000340438
149,3791.91,0.60133,0.43776,1.07288,0.82206,0.83892,0.86026,0.6186,0.87626,0.63178,1.30623,0.00033425,0.00033425,0.00033425
150,3816.41,0.60169,0.43697,1.07158,0.75052,0.88541,0.85115,0.62597,0.87581,0.64155,1.30966,0.000328063,0.000328063,0.000328063
151,3840.69,0.60596,0.44155,1.08195,0.80258,0.83993,0.84358,0.62989,0.88515,0.64662,1.32518,0.000321875,0.000321875,0.000321875
152,3864.9,0.58986,0.43207,1.05947,0.82654,0.80467,0.84522,0.6252,0.88326,0.66075,1.33899,0.000315687,0.000315687,0.000315687
153,3889.23,0.58383,0.42613,1.06135,0.8245,0.7995,0.84188,0.6183,0.86607,0.61917,1.3147,0.0003095,0.0003095,0.0003095
154,3913.42,0.58777,0.42591,1.06119,0.74861,0.88541,0.84756,0.62565,0.86253,0.62205,1.30245,0.000303313,0.000303313,0.000303313
155,3937.72,0.58452,0.42573,1.06181,0.80509,0.80003,0.83761,0.6122,0.8594,0.62107,1.29827,0.000297125,0.000297125,0.000297125
156,3961.82,0.5775,0.41669,1.06222,0.75197,0.89664,0.84668,0.6172,0.86404,0.63008,1.30457,0.000290937,0.000290937,0.000290937
157,3986.11,0.58551,0.41631,1.06884,0.8198,0.82522,0.85586,0.62195,0.86996,0.62151,1.30027,0.00028475,0.00028475,0.00028475
158,4010.24,0.58624,0.42305,1.07151,0.81293,0.83902,0.85329,0.62783,0.87817,0.63608,1.30797,0.000278562,0.000278562,0.000278562
159,4034.55,0.57449,0.41716,1.06173,0.82688,0.82743,0.85263,0.61795,0.85501,0.63084,1.29301,0.000272375,0.000272375,0.000272375
160,4058.77,0.59153,0.42876,1.06477,0.77116,0.90685,0.85482,0.63264,0.85958,0.61657,1.30288,0.000266187,0.000266187,0.000266187
161,4083.16,0.574,0.42232,1.0626,0.77608,0.8578,0.8432,0.62478,0.86488,0.63608,1.30874,0.00026,0.00026,0.00026
162,4107.35,0.58733,0.42239,1.06322,0.76825,0.8344,0.85049,0.61919,0.86053,0.63563,1.3067,0.000253812,0.000253812,0.000253812
163,4131.68,0.57037,0.41101,1.05569,0.73125,0.92277,0.85781,0.62477,0.85556,0.64166,1.30257,0.000247625,0.000247625,0.000247625
164,4155.91,0.5808,0.41771,1.06491,0.80314,0.79439,0.8455,0.60861,0.85518,0.66635,1.31466,0.000241438,0.000241438,0.000241438
165,4180.33,0.57556,0.40605,1.05843,0.80549,0.8029,0.82822,0.61049,0.85504,0.66682,1.30593,0.00023525,0.00023525,0.00023525
166,4204.48,0.58102,0.41586,1.05832,0.77472,0.81833,0.8292,0.61197,0.86151,0.67175,1.31369,0.000229063,0.000229063,0.000229063
167,4228.86,0.56487,0.41464,1.05633,0.76603,0.85908,0.83706,0.61989,0.8614,0.65195,1.30653,0.000222875,0.000222875,0.000222875
168,4253.1,0.57461,0.41589,1.0497,0.79049,0.85001,0.84249,0.61747,0.87039,0.64894,1.32997,0.000216688,0.000216688,0.000216688
169,4277.42,0.57128,0.40901,1.0557,0.79809,0.79914,0.83093,0.61542,0.87054,0.65945,1.33245,0.0002105,0.0002105,0.0002105
170,4301.68,0.57253,0.40723,1.0557,0.77507,0.81923,0.83335,0.61518,0.87588,0.64636,1.33066,0.000204313,0.000204313,0.000204313
171,4326.19,0.56511,0.41079,1.05626,0.77882,0.81421,0.8388,0.61547,0.87493,0.6479,1.33197,0.000198125,0.000198125,0.000198125
172,4350.73,0.56833,0.41354,1.05565,0.806,0.80417,0.83067,0.60928,0.86926,0.64574,1.3256,0.000191938,0.000191938,0.000191938
173,4375.16,0.55842,0.39909,1.04244,0.7795,0.79297,0.8264,0.60787,0.87224,0.67201,1.32884,0.00018575,0.00018575,0.00018575
174,4399.48,0.56106,0.39075,1.04897,0.79344,0.7818,0.8207,0.60718,0.87324,0.68195,1.32588,0.000179563,0.000179563,0.000179563
175,4423.89,0.56481,0.39978,1.04797,0.78974,0.78872,0.83283,0.60697,0.87522,0.69005,1.32842,0.000173375,0.000173375,0.000173375
176,4448.25,0.55987,0.39454,1.04486,0.8069,0.7808,0.83156,0.60743,0.87582,0.68704,1.3272,0.000167188,0.000167188,0.000167188
177,4472.48,0.55375,0.39252,1.04472,0.80764,0.77862,0.82076,0.60638,0.881,0.70832,1.33251,0.000161,0.000161,0.000161
178,4496.76,0.55357,0.38654,1.04201,0.79151,0.80189,0.83578,0.61213,0.88375,0.69746,1.33491,0.000154812,0.000154812,0.000154812
